source,rank,x1,y1,x2,y2,length,angle_degrees
cnn_or_selected_backend,175,302.0,801.0,415.0,862.0,128.41339493993607,28.361194329573717
cnn_or_selected_backend,176,912.0,1140.0,1030.0,1190.0,128.15615474880636,22.963773059854553
cnn_or_selected_backend,177,698.0,1172.0,798.0,1252.0,128.06248474865697,38.65980825409009
cnn_or_selected_backend,178,204.0,1011.0,329.0,987.0,127.283148923964,169.1314746598313
cnn_or_selected_backend,179,976.0,925.0,1103.0,932.0,127.1927670899568,3.154842864791977
cnn_or_selected_backend,180,8.0,544.0,134.0,540.0,126.0634760745554,178.18169703554815
cnn_or_selected_backend,181,502.0,967.0,617.0,1018.0,125.80143083447024,23.916245417619354
cnn_or_selected_backend,182,623.0,1154.0,745.0,1182.0,125.1718818265508,12.925999124705953
cnn_or_selected_backend,183,763.0,929.0,884.0,961.0,125.15989773086265,14.81346411880467
cnn_or_selected_backend,184,510.0,1042.0,515.0,1167.0,125.09996003196804,87.70938995736148
cnn_or_selected_backend,185,524.0,936.0,526.0,812.0,124.01612798341996,90.92404535277271
cnn_or_selected_backend,186,928.0,1141.0,1037.0,1199.0,123.47064428438041,28.01789354645458
cnn_or_selected_backend,187,689.0,1253.0,812.0,1247.0,123.14625451064275,177.2072976342867
cnn_or_selected_backend,188,150.0,377.0,156.0,500.0,123.14625451064275,87.20729763428672
cnn_or_selected_backend,189,361.0,1019.0,420.0,1127.0,123.06502346320826,61.35238354319113
cnn_or_selected_backend,190,302.0,807.0,422.0,833.0,122.78436382536663,12.225122675735753
cnn_or_selected_backend,191,917.0,864.0,1039.0,875.0,122.494897852931,5.152081702206227
cnn_or_selected_backend,192,302.0,798.0,421.0,826.0,122.24974437601087,13.240519915187205
cnn_or_selected_backend,193,490.0,987.0,612.0,981.0,122.14745187681976,177.18444331578877
cnn_or_selected_backend,194,270.0,1094.0,341.0,995.0,121.82774724995944,125.64702074990674
cnn_or_selected_backend,195,467.0,938.0,586.0,917.0,120.83873551142449,169.99202019855866
cnn_or_selected_backend,196,2.0,222.0,122.0,208.0,120.81390648431164,173.3455749539934
cnn_or_selected_backend,197,302.0,805.0,422.0,817.0,120.59850745345068,5.710593137499642
cnn_or_selected_backend,198,944.0,1027.0,1061.0,998.0,120.5404496424333,166.07903963507925
cnn_or_selected_backend,199,757.0,891.0,875.0,915.0,120.41594578792295,11.49656301758578
cnn_or_selected_backend,200,430.0,947.0,549.0,929.0,120.3536455617361,171.3986151412851
cnn_or_selected_backend,201,409.0,941.0,521.0,985.0,120.33287165193059,21.44773632710535
cnn_or_selected_backend,202,303.0,812.0,420.0,839.0,120.07497657713701,12.994616791916505
cnn_or_selected_backend,203,342.0,1274.0,462.0,1274.0,120.0,0.0
cnn_or_selected_backend,204,302.0,803.0,421.0,815.0,119.60351165413162,5.75826016436676
cnn_or_selected_backend,205,172.0,768.0,178.0,887.0,119.15116449284078,87.11358145613539
cnn_or_selected_backend,206,1.0,432.0,1.0,551.0,119.0,90.0
cnn_or_selected_backend,207,441.0,959.0,558.0,939.0,118.69709347747316,170.2996080560542
cnn_or_selected_backend,208,765.0,926.0,879.0,959.0,118.68024266911489,16.14433878028348
cnn_or_selected_backend,209,982.0,928.0,1100.0,918.0,118.4229707446997,175.15599962491933
cnn_or_selected_backend,210,487.0,886.0,605.0,883.0,118.03812943282352,178.5436413656603
cnn_or_selected_backend,211,437.0,951.0,555.0,948.0,118.03812943282352,178.5436413656603
cnn_or_selected_backend,212,571.0,1273.0,689.0,1274.0,118.00423721205946,0.4855458300081336
cnn_or_selected_backend,213,303.0,784.0,417.0,814.0,117.881296226331,14.743562836470735
cnn_or_selected_backend,214,445.0,1028.0,504.0,926.0,117.83462988442744,120.04643524681049
cnn_or_selected_backend,215,995.0,1014.0,1109.0,985.0,117.63077828527702,165.72748661559967
cnn_or_selected_backend,216,360.0,1018.0,413.0,1123.0,117.61802582937702,63.217095197824854
cnn_or_selected_backend,217,305.0,802.0,414.0,845.0,117.17508267545622,21.529006881839123
cnn_or_selected_backend,218,271.0,1182.0,388.0,1178.0,117.06835610018618,178.04193257076597
cnn_or_selected_backend,219,812.0,728.0,812.0,611.0,117.0,90.0
cnn_or_selected_backend,220,9.0,869.0,30.0,984.0,116.90166808048549,79.65131591200455
cnn_or_selected_backend,221,308.0,817.0,422.0,841.0,116.49892703368559,11.888658039627975
cnn_or_selected_backend,222,148.0,750.0,154.0,866.0,116.15506876585283,87.03906386583625
cnn_or_selected_backend,223,182.0,858.0,185.0,974.0,116.03878661895772,88.51854282911292
cnn_or_selected_backend,224,303.0,783.0,399.0,847.0,115.37764081484765,33.690067525979785
cnn_or_selected_backend,225,162.0,571.0,169.0,686.0,115.2128465059344,86.51672853100233
cnn_or_selected_backend,226,496.0,979.0,611.0,976.0,115.03912377969506,178.50566640873348
cnn_or_selected_backend,227,761.0,943.0,865.0,894.0,114.96521212958292,154.7723505325714
cnn_or_selected_backend,228,157.0,309.0,161.0,423.0,114.0701538527936,87.99044618697886
cnn_or_selected_backend,229,792.0,747.0,796.0,633.0,114.0701538527936,92.00955381302114
cnn_or_selected_backend,230,208.0,1005.0,316.0,971.0,113.22543883774529,162.52522574374433
cnn_or_selected_backend,231,478.0,872.0,591.0,874.0,113.01769772916099,1.0139787227853019
cnn_or_selected_backend,232,991.0,932.0,1103.0,920.0,112.64102272262978,173.8844964337146
cnn_or_selected_backend,233,999.0,1007.0,1109.0,983.0,112.58774356030055,167.69198418257207
cnn_or_selected_backend,234,499.0,841.0,607.0,870.0,111.8257573191436,15.030430523433274
cnn_or_selected_backend,235,1001.0,702.0,1001.0,591.0,111.0,90.0
cnn_or_selected_backend,236,230.0,1009.0,339.0,989.0,110.81967334368028,169.60266647756364
cnn_or_selected_backend,237,997.0,1031.0,1105.0,1007.0,110.63453348751464,167.47119229084848
cnn_or_selected_backend,238,739.0,976.0,842.0,936.0,110.4943437466371,158.7763434972338
cnn_or_selected_backend,239,302.0,804.0,409.0,831.0,110.35397591387454,14.162168055312756
cnn_or_selected_backend,240,917.0,875.0,1026.0,891.0,110.16805344563369,8.350752532331411
cnn_or_selected_backend,241,1091.0,524.0,1091.0,414.0,110.0,90.0
cnn_or_selected_backend,242,808.0,925.0,808.0,815.0,110.0,90.0
cnn_or_selected_backend,243,665.0,707.0,773.0,725.0,109.48972554536796,9.462322208025617
cnn_or_selected_backend,244,682.0,803.0,724.0,702.0,109.38464243210744,112.57957256402631
cnn_or_selected_backend,245,478.0,868.0,587.0,869.0,109.00458705944443,0.5256346064576132
cnn_or_selected_backend,246,1109.0,1226.0,1109.0,1117.0,109.0,90.0
cnn_or_selected_backend,247,682.0,794.0,724.0,694.0,108.46197490364999,112.78240573048168
cnn_or_selected_backend,248,900.0,884.0,1007.0,901.0,108.34205093129813,9.027612950715096
cnn_or_selected_backend,249,212.0,1000.0,316.0,970.0,108.24047302187847,163.90918365114783
cnn_or_selected_backend,250,388.0,732.0,388.0,624.0,108.0,90.0
cnn_or_selected_backend,251,760.0,956.0,859.0,913.0,107.93516572461452,156.52260010790707
cnn_or_selected_backend,252,502.0,848.0,607.0,872.0,107.70793842609746,12.875001559612476
cnn_or_selected_backend,253,1020.0,869.0,1032.0,976.0,107.67079455451233,83.60104337263108
cnn_or_selected_backend,254,850.0,957.0,957.0,946.0,107.56393447619885,174.13039955698528
cnn_or_selected_backend,255,181.0,1197.0,280.0,1157.0,106.77546534667971,157.9993016494594
cnn_or_selected_backend,256,509.0,824.0,615.0,832.0,106.30145812734649,4.316027519865624
cnn_or_selected_backend,257,603.0,819.0,623.0,923.0,105.90561835898981,79.11447294534128
cnn_or_selected_backend,258,1008.0,1014.0,1110.0,986.0,105.77334257741882,164.6498635075756
cnn_or_selected_backend,259,901.0,1013.0,938.0,914.0,105.6882207249228,110.49259476987028
cnn_or_selected_backend,260,353.0,1177.0,458.0,1188.0,105.57461816175325,5.980599524763449
cnn_or_selected_backend,261,420.0,982.0,523.0,967.0,104.08650248711405,171.71420297604624
cnn_or_selected_backend,262,1005.0,922.0,1109.0,926.0,104.0768946500615,2.2025981617658053
cnn_or_selected_backend,263,303.0,791.0,405.0,806.0,103.0970416646375,8.36588612403259
cnn_or_selected_backend,264,175.0,1043.0,179.0,1146.0,103.07764064044152,87.77603875961452
cnn_or_selected_backend,265,389.0,1042.0,389.0,1145.0,103.0,90.0
cnn_or_selected_backend,266,487.0,671.0,489.0,569.0,102.0196059588548,91.12330271407542
cnn_or_selected_backend,267,501.0,854.0,603.0,854.0,102.0,0.0
cnn_or_selected_backend,268,671.0,748.0,771.0,768.0,101.9803902718557,11.309932474020213
cnn_or_selected_backend,269,302.0,810.0,401.0,834.0,101.86756107809786,13.62699485989154
cnn_or_selected_backend,270,498.0,626.0,501.0,727.0,101.04454463255303,88.29864539467387
cnn_or_selected_backend,271,505.0,669.0,505.0,770.0,101.0,90.0
cnn_or_selected_backend,272,731.0,1260.0,743.0,1160.0,100.71742649611338,96.84277341263093
